番号,ポケモン,わざ1,わざ2,わざ3,わざ4,もちもの,せいかく,努力値,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ
1,フシギダネ,マジカルリーフ,どくどく,やどりぎのタネ,あまいかおり,ひかりのこな,ひかえめ,とくこう/とくぼう,105,48,54,111,101,50
2,ヒトカゲ,ほのおのキバ,メタルクロー,えんまく,こわいかお,ピントレンズ,いじっぱり,こうげき/すばやさ,99,96,48,58,55,101
3,ゼニガメ,アクアジェット,かみつく,からにこもる,まもる,うしおのおこう,いじっぱり,HP/こうげき,135,92,70,49,69,48
4,チコリータ,タネマシンガン,ひみつのちから,なきごえ,ひかりのかべ,のんきのおこう,いじっぱり,HP/こうげき,136,93,70,48,70,50
5,ヒノアラシ,かえんぐるま,にどげり,スピードスター,えんまく,せんせいのツメ,いじっぱり,こうげき/とくぼう,99,96,48,58,86,70
6,ワニノコ,ダイビング,きりさく,いやなおと,こわいかお,するどいツメ,いじっぱり,こうげき/ぼうぎょ,110,111,100,44,53,48
7,キモリ,メガドレイン,スピードスター,フラッシュ,かげぶんしん,きせきのタネ,おくびょう,とくこう/すばやさ,100,45,40,101,60,116
8,アチャモ,ひのこ,オウムがえし,どろかけ,かげぶんしん,もくたん,すなお,こうげき/とくこう,105,96,45,106,55,50
9,ミズゴロウ,みずのはどう,こごえるかぜ,どろかけ,なきごえ,しんぴのしずく,ひかえめ,HP/とくこう,141,67,55,94,55,45
10,ナエトル,はっぱカッター,かみつく,くすぐる,からにこもる,オッカのみ,いじっぱり,HP/こうげき,146,114,69,45,60,36
11,ヒコザル,かえんぐるま,からげんき,にらみつける,ねこだまし,イトケのみ,いじっぱり,こうげき/すばやさ,104,103,49,56,49,97
12,ポッチャマ,バブルこうせん,つばめがえし,なきごえ,ちょうおんぱ,リンドのみ,てれや,こうげき/とくこう,113,87,58,97,61,45
13,コロボーシ,むしくい,がまん,どろかけ,なきごえ,チイラのみ,のんき,HP/ぼうぎょ/とくぼう,118,30,73,30,67,27
14,ピンプク,プレゼント,てんしのキッス,まねっこ,あまえる,オボンのみ,いじっぱり,HP/ぼうぎょ,191,11,41,18,70,35
15,ミノムッチ,むしくい,たいあたり,いびき,まもる,オボンのみ,いじっぱり,HP/こうげき,131,71,50,30,50,41
16,ヌケニン,かげうち,れんぞくぎり,あやしいひかり,すなかけ,のんきのおこう,いじっぱり,こうげき/すばやさ,1,138,50,31,35,76
17,ムックル,つばさでうつ,でんこうせっか,がむしゃら,なきごえ,するどいくちばし,いじっぱり,こうげき/すばやさ,100,100,35,31,35,96
18,ミツハニー,むしくい,かぜおこし,あやしいかぜ,あまいかおり,ぎんのこな,まじめ,こうげき/とくこう/すばやさ,90,56,47,56,47,96
19,ビッパ,ずつき,ついばむ,なきごえ,あくび,シルクのスカーフ,いじっぱり,HP/こうげき,150,89,45,36,45,36
20,コリンク,かみなりのキバ,かみつく,とおぼえ,にらみつける,おうじゃのしるし,いじっぱり,HP/こうげき,136,111,39,40,39,50
